participant,trial,task,sentence,total_keyword,count_correct,prompt,answer_secondarytask,response_secondarytask,correctness,rt
8202663,1,speech_single,EXP_14_PDM9.mp3,4,2,NA,NA,NA,NA,9999
8202663,2,speech_single,EXP_48_PDM9.mp3,4,2,NA,NA,NA,NA,9999
8202663,3,speech_single,EXP_52_PDM9.mp3,4,2,NA,NA,NA,NA,9999
8202663,4,speech_single,EXP_56_PDM9.mp3,4,2,NA,NA,NA,NA,9999
8202663,5,speech_single,EXP_77_PDM9.mp3,3,3,NA,NA,NA,NA,9999
8202663,6,speech_single,EXP_59_PDM9.mp3,5,3,NA,NA,NA,NA,9999
8202663,7,speech_single,EXP_44_PDM9.mp3,4,4,NA,NA,NA,NA,9999
8202663,8,speech_single,EXP_04_PDM9.mp3,4,3,NA,NA,NA,NA,9999
8202663,9,speech_single,EXP_41_PDM9.mp3,4,2,NA,NA,NA,NA,9999
8202663,10,speech_single,EXP_37_PDM9.mp3,5,4,NA,NA,NA,NA,9999
8202663,11,speech_single,EXP_12_PDM9.mp3,4,1,NA,NA,NA,NA,9999
8202663,12,speech_single,EXP_67_PDM9.mp3,3,1,NA,NA,NA,NA,9999
8202663,13,speech_single,EXP_72_PDM9.mp3,5,4,NA,NA,NA,NA,9999
8202663,14,speech_single,EXP_60_PDM9.mp3,3,1,NA,NA,NA,NA,9999
8202663,15,speech_single,EXP_58_PDM9.mp3,3,2,NA,NA,NA,NA,9999
8202663,16,speech_single,EXP_17_PDM9.mp3,4,4,NA,NA,NA,NA,9999
8202663,17,speech_single,EXP_65_PDM9.mp3,4,3,NA,NA,NA,NA,9999
8202663,18,speech_single,EXP_05_PDM9.mp3,3,3,NA,NA,NA,NA,9999
8202663,19,speech_single,EXP_61_PDM9.mp3,3,3,NA,NA,NA,NA,9999
8202663,20,speech_single,EXP_23_PDM9.mp3,4,4,NA,NA,NA,NA,9999
8202663,21,speech_single,EXP_32_PDM9.mp3,5,3,NA,NA,NA,NA,9999
8202663,22,speech_single,EXP_80_PDM9.mp3,4,3,NA,NA,NA,NA,9999
8202663,23,speech_single,EXP_66_PDM9.mp3,4,2,NA,NA,NA,NA,9999
8202663,24,speech_single,EXP_24_PDM9.mp3,3,2,NA,NA,NA,NA,9999
8202663,25,speech_single,EXP_20_PDM9.mp3,4,3,NA,NA,NA,NA,9999
8202663,26,speech_single,EXP_55_PDM9.mp3,5,4,NA,NA,NA,NA,9999
8202663,27,speech_single,EXP_49_PDM9.mp3,4,4,NA,NA,NA,NA,9999
8202663,28,speech_single,EXP_54_PDM9.mp3,3,2,NA,NA,NA,NA,9999
8202663,29,speech_single,EXP_63_PDM9.mp3,5,5,NA,NA,NA,NA,9999
8202663,30,speech_single,EXP_76_PDM9.mp3,5,3,NA,NA,NA,NA,9999
8202663,31,speech_single,EXP_19_PDM9.mp3,3,3,NA,NA,NA,NA,9999
8202663,32,speech_single,EXP_40_PDM9.mp3,4,3,NA,NA,NA,NA,9999
8202663,33,speech_single,EXP_27_PDM9.mp3,3,3,NA,NA,NA,NA,9999
8202663,34,speech_single,EXP_78_PDM9.mp3,4,3,NA,NA,NA,NA,9999
8202663,35,speech_single,EXP_79_PDM9.mp3,3,3,NA,NA,NA,NA,9999
8202663,36,speech_single,EXP_26_PDM9.mp3,3,3,NA,NA,NA,NA,9999
